location,most_liked_dish,no_of_restaurants
Shanti Nagar,Rolls,28
Whitefield,Salad,28
Indiranagar,Gulab Jamun,28
Koramangala 4th Block,Pancakes,28
Banashankari,Panneer Butter Masala,28
BTM,Coffee,28
Ulsoor,Tea,28
JP Nagar,Panneer Butter Masala,28
BTM,Tea,28
Jayanagar,Lunch Buffet,28
JP Nagar,Burgers,28
Bellandur,Chicken Biryani,28
Indiranagar,Tandoori Chicken,28
Frazer Town,Rolls,28
BTM,Chicken Burger,28
MG Road,Mocktails,28
Lavelle Road,Sea Food,28
HSR,Paratha,28
Church Street,Appam,27
Koramangala 6th Block,Thali,27
Bannerghatta Road,Biryani,27
Bannerghatta Road,Burgers,27
BTM,Kulcha,27
Koramangala 6th Block,Poha,27
JP Nagar,Cappuccino,27
Indiranagar,Chai,27
Koramangala 4th Block,Sangria,27
Residency Road,Cocktails,27
Bannerghatta Road,Vegetable Biryani,27
Sarjapur Road,Pasta,27
Koramangala 7th Block,Salads,27
Whitefield,Paneer Tikka,27
BTM,Shahi Paneer,27
Richmond Road,Cocktails,27
Jayanagar,Chicken Grill,27
Brigade Road,Jalebi,27
Church Street,Apple Pie,27
Richmond Road,Burgers,27
Jayanagar,Vada,27
BTM,Shawarma,27
HSR,Vada,27
Domlur,Nachos,27
JP Nagar,Chicken Curry,27
Koramangala 4th Block,Cup Cake,27
Koramangala 6th Block,Fish,27
Church Street,Paratha,27
HSR,Hot Chocolate,27
Brigade Road,Hot Chocolate,27
Jayanagar,Mutton Biryani,27
JP Nagar,Waffles,27
Jayanagar,Vada,27
Koramangala 4th Block,Chicken Tikka,27
Koramangala 6th Block,Chicken Curry,27
Indiranagar,Appam,27
Koramangala 5th Block,Chai,27
Koramangala 5th Block,Shawarma,27
St. Marks Road,Sandwiches,27
Indiranagar,Wedges,27
Brigade Road,Coffee,27
Lavelle Road,Pasta,27
HSR,Butter Naan,27
BTM,Chowmein,27
Banashankari,Roti,27
Jayanagar,Thick Shakes,27
Brookefield,Chicken Curry,27
Whitefield,Butter Chicken,27
Koramangala 1st Block,Chicken Biryani,27
Domlur,Vada,27
New BEL Road,Pasta,27
Brigade Road,Salads,27
JP Nagar,Chaat,27
Bellandur,Fish,27
Jeevan Bhima Nagar,Paratha,27
Domlur,Pasta,27
Koramangala 5th Block,Mutton Roganjosh,27
Brigade Road,Rabri,27
Bellandur,Gulab Jamun,27
BTM,Onion Rings,27
Indiranagar,Chicken Sandwich,26
HSR,Beer,26
Indiranagar,Noodles,26
Ulsoor,Raita,26
Frazer Town,Biryani,26
HSR,Chilli Chicken,26
Richmond Road,Butter Naan,26
Koramangala 5th Block,Phirni,26
Jayanagar,Ghee Rice,26
Koramangala 7th Block,Vegetable Biryani,26
Frazer Town,Burgers,26
HSR,Hyderabadi Biryani,26
Richmond Road,Coffee,26
Indiranagar,Salads,26
Koramangala 4th Block,Cappuccino,26
HSR,Roti,26
HSR,Vegetable Biryani,26
Indiranagar,Tea,26
HSR,Lassi,26
Koramangala 4th Block,Waffles,26
Jayanagar,Vanilla Ice Cream,26
HSR,Pancakes,26
Whitefield,Biryani,26
Koramangala 5th Block,Prawn,26
Banashankari,Mocktails,26
Bannerghatta Road,Coffee,26
Indiranagar,Sev Puri,26
Koramangala 1st Block,Maggi,26
Indiranagar,Waffles,26
Koramangala 6th Block,Waffles,26
Bannerghatta Road,Lassi,26
Ulsoor,Cheesecake,26
Residency Road,Pepper Chicken,26
BTM,Chaat,26
Basavanagudi,Pizza,26
Koramangala 5th Block,Filter Coffee,26
Koramangala 1st Block,English Breakfast,26
Jayanagar,Raita,26
Koramangala 6th Block,Samosa,26
Koramangala 1st Block,Tandoori Chicken,26
Brookefield,Burgers,26
Koramangala 5th Block,Raita,26
New BEL Road,Mocktails,26
Sarjapur Road,Sea Food,26
Cunningham Road,Sea Food,26
Whitefield,Brownie,26
Koramangala 7th Block,Sandwich,26
Whitefield,Tea,26
Domlur,Appam,26
Infantry Road,Lunch Buffet,26
Residency Road,Biryani,26
Richmond Road,Coffee,25
MG Road,Coffee,25
Sarjapur Road,Paratha,25
JP Nagar,Manchow Soup,25
MG Road,Mojito,25
Indiranagar,Pav Bhaji,25
Cunningham Road,Eclair,25
HSR,Rolls,25
MG Road,Mushroom Soup,25
Cunningham Road,Cappuccino,25
Malleshwaram,Thali,25
BTM,Kheer,25
New BEL Road,Cocktails,25
Indiranagar,Sea Food,25
BTM,Rolls,25
Cunningham Road,Coffee,25
Koramangala 5th Block,Lamb,25
Koramangala 4th Block,Spaghetti,25
Cunningham Road,Oreo Cheesecake,25
Ulsoor,Margherita Pizza,25
Koramangala 5th Block,Baklava,25
Indiranagar,Cappuccino,25
Ulsoor,Cocktails,25
Koramangala 6th Block,Brownie,25
Banashankari,Coffee,25
Cunningham Road,Sweet Corn Soup,25
BTM,Panipuri,25
Koramangala 6th Block,Noodles,25
Indiranagar,Chicken Grill,25
Church Street,Bruschettas,25
Jayanagar,Salad,25
Koramangala 7th Block,Brownie,25
Church Street,Peri Fries,25
Bellandur,Vegetable Biryani,25
Cunningham Road,Blueberry Cheesecake,25
Koramangala 5th Block,Sushi,25
Jayanagar,Waffles,25
Kalyan Nagar,Pizza,25
BTM,Egg Roll,25
Ulsoor,Tiramisu,25
Marathahalli,Chicken Curry,25
Koramangala 5th Block,Peri Peri Fries,25
HSR,Biryani,25
Ulsoor,Sea Food,25
Bannerghatta Road,Biryani,25
JP Nagar,Butter Chicken,25
MG Road,Wine,25
MG Road,Samosa,25
BTM,Chicken Lollipop,25
Whitefield,Cocktails,25
JP Nagar,Jalebi,25
Marathahalli,Rabri,25
Koramangala 1st Block,Gulab Jamun,25
Church Street,Chilli Chicken,24
Koramangala 4th Block,Wine,24
Brigade Road,Fried Rice,24
BTM,Hot Chocolate,24
Whitefield,Cheesecake,24
Shivajinagar,Ghee Rice,24
BTM,Chicken Steak,24
Ulsoor,Sandwiches,24
New BEL Road,Nachos,24
Koramangala 6th Block,Dhokla,24
Indiranagar,Chicken Burger,24
Koramangala 5th Block,Chop Suey,24
Koramangala 4th Block,Paneer Tikka,24
Koramangala 7th Block,Thukpa,24
Malleshwaram,Beer,24
Indiranagar,Long Island Iced Tea,24
Marathahalli,Lunch Buffet,24
Richmond Road,Ghee Rice,24
Electronic City,Noodles,24
Ulsoor,Wedges,24
Richmond Road,Mocktails,24
Indiranagar,Masala Peanuts,24
